"lijstnr";"hrl_code";"code";"beschrijving"
436;"rbbah";"S_eutrof";"eutrof"
437;"rbbah";"S_invasieve_exoten";"invasieve_exoten"
438;"rbbah";"S_soorten_aanv";"soorten_aanv"
439;"rbbah";"S_soorten_EU";"soorten_EU"
440;"rbbHc";"Sleutelsoorten";
441;"rbbHc";"Verdroging";
442;"rbbHc";"Verruiging";
443;"rbbHc";"Vernatting";
444;"rbbHc";"Eutrofiëring";
445;"rbbHc";"Bodemroering";
446;"rbbHc";"Pitrus";
447;"rbbHc";"Verbraming";
448;"rbbHc";"Vernatting (gn zegge";
449;"rbbVos";"Verbraming";
450;"rbbVos";"Bodemroering";
451;"rbbVos";"Pitrus";
452;"rbbVos";"Eutrofiëring";
453;"rbbVos";"Verruiging";
454;"rbbVos";"SleutelsoortenStart";
455;"rbbVos";"Droogtegroep_sleutel";
456;"rbbVos";"Vochtgroep_sleutel";
457;"rbbVos";"Grvos_trosdravik";
458;"rbbVos";"basenminnend";
459;"rbbVos";"hc-kerngroep";
460;"rbbVos";"hu-groep";
461;"rbbVos";"hu-kerngroep";
462;"rbbVos";"hua-groep";
463;"rbbVos";"hua-kerngroep";
464;"rbbVos";"rbbZil-groep";
466;"rbbVos";"moeras-groep";
467;"rbbVos";"rbbZil-groep";
468;"rbbVos";"hc-groep";
469;"rbbVos";"vochtgroep";
470;"rbbVos";"nattegroep";
471;"rbbVos";"Beweiding";
472;"rbbVos";"Verdroging";
473;"rbbVos";"Vernatting";
474;"rbbZil";"SleutelsoortenStart";
475;"rbbZil";"ziltegroep";
476;"rbbZil";"hc-groep";
477;"rbbZil";"hu-groep";
478;"rbbZil";"rbbVos-groep";
479;"rbbZil";"moeras-groep";
480;"rbbZil";"hf-groep";
481;"rbbZil";"Vernatting";
482;"rbbZil";"Bodemroering";
483;"rbbZil";"Pitrus";
484;"rbbZil";"Eutrofiëring";
485;"rbbZil";"Verruiging";
486;"rbbZil";"Beweiding";
487;"rbbKam";"SleutelsoortenStart";
488;"rbbKam";"Bodemroering";
489;"rbbKam";"Pitrus";
490;"rbbKam";"Eutrofiëring";
491;"rbbKam";"Verruiging";
492;"rbbKam";"EutrofiëringSterk";
493;"rbbHf";"Bodemroering";
494;"rbbHf";"Pitrus";
495;"rbbHf";"Eutrofiëring";
497;"rbbHf";"SleutelsoortenStart";
498;"rbbHf";"Vernatting";
499;"rbbHf";"Verdroging";
500;"rbbHf";"Invasieve exoten";
501;"rbbHf";"Sleutelsoorten";
502;"rbbZil";"Sleutelsoorten";
503;"rbbZil";"SleutelsoortenAgrost";
504;"Ha";"SleutelsoortenStart";
505;"Ha";"hn-groep";
506;"Ha";"Bodemroering";
507;"Ha";"Pitrus";
508;"Ha";"Eutrofiëring";
509;"Ha";"EutrofiëringSterk";
510;"Ha";"Verruiging";
511;"Ha";"rbbKam-groep";
512;"Ha";"Brem";
513;"Ha";"haplus-groep";
514;"Hu";"Sleutelsoorten";
515;"Hu";"Bodemroering";
516;"Hu";"Pitrus";
517;"Hu";"Eutrofiëring";
518;"Hu";"EutrofiëringSterk";
519;"Hu";"Verruiging";
520;"Hu";"Vernatting";
521;"Ha";"SleutelsoortenBedekStart";
522;"rbbHf";"BodemroeringKempen";
523;"rbbHf";"VerdrogingKempen";
524;"rbbHf";"EutrofiëringKempen";
525;"rbbHf";"VernattingKempen";
526;"rbbHf";"SleutelsoortenKempen";
527;"Ha";"Sleutelsoorten";
528;"Ha";"SleutelsoortenBedekking";
529;"Ha";"LageGrassen";
530;"rbbHc";"Beweiding";
531;"rbbKam";"Vernatting";
532;"rbbKam";"IntensiefGebruik";
533;"HS";"Moerasgroep s.s.";
534;"HS";"Basenminnend";
535;"HS";"Hn-groep";
536;"HS";"Hnk-groep";
537;"HS";"Obligaat freatofyten";
538;"HS";"Hk-groep";
539;"HS";"Huk-groep_weegbree";
540;"HS";"Huk-groep_aardistel";
541;"HS";"Hm-groep";
542;"HS";"Hme-groep";
543;"HS";"Husc-groep";
544;"HS";"Ha-groep";
545;"HS";"heizoomgroep";
546;"HS";"Facultatieve freatofyten (V+K)";
547;"HS";"Hmm-groep";
548;"HS";"Hm(m)-groep";
549;"HS";"Heidegroep";
550;"HS";"Obligaat freatofyten min heischraal";
551;"HS";"Droge hei";
552;"HS";"Natte hei";
553;"HS";"Eenjarigen-heide";
554;"HS";"Orchidee-groep";
555;"HS";"Mk-groep";
556;"HS";"veldrus-groep";
557;"HS";"Da-groep";
558;"HS";"6430hw-groep";
559;"HS";"vochtige ruigtekruiden";
560;"HS";"verlaten grasland";
561;"HS";"rbbHfl-groep";
562;"HS";"ruderaal-groep";
563;"HS";"Ha-groep_diffHn";
564;"HS";"Ms-groep";
565;"HS";"Vosgroep";
566;"HS";"matigvoedselrijkgrasland";
567;"HS";"duingraslandsoorten";
568;"HS";"boszoom-groep";
569;"HS";"Hmo-groep";
570;"HS";"Galio-Trifolietumgroep";
571;"HS";"NitrofieleZoom-groep";
572;"HS";"NitrofieleZoom-begeleiders-groep";
573;"HS";"6430bz-groep";
574;"HS";"zure zoom-groep";
575;"HS";"zure zoom begeleiders";
576;"HS";"hc diff hm-groep";
577;"HS";"hm diff hc-groep";
578;"HS";"ms diff hm-groep";
579;"HS";"hk uitgebreid-groep";"niet gebruikt voor onderscheid met hnk"
580;"HS";"heide habitatwaardig";
581;"HS";"Zil-groep uitgebreid";
582;"HS";"voedselrijk grasland-groep";
583;"HS";"hpster grasland-groep";
584;"HS";"vos diff hc-groep";"enkele soorten uit de vosgroep verwijderd die gemeenschappelijk zijn met hc, maar in deze groep niet zijn opgenomen"
585;"HS";"hc diff vos-groep";"enkele vochtige ruigte soorten toegevoegd"
586;"HS";"ha_ruim-groep";
587;"HS";"ruderaal_ruim-groep";
588;"HS";"hu_kern_inclbasen-groep";
589;"HS";"hmo diff hn-groep";
590;"HS";"hnk diff h(u)k-groep";
591;"HS";"moerasmossen";
592;"HS";"kalkmossen";
593;"HS";"hm diff hmo-groep";
594;"HS";"hmo diff hm-groep";
595;"HS";"hu diff vos-groep";
596;"HS";"vos diff hu-groep";
597;"HS";"grote vossenstaart";
598;"HS";"zil diff vos-groep";
599;"HS";"vos diff zil-groep";
600;"HS";"hc diff zil-groep";
601;"HS";"zil diff hc-groep";
602;"HS";"ms diff hc-groep";
603;"HS";"hc diff ms-groep";
604;"HS";"valleigrasland-groep";
605;"HS";"ms-mossen-groep";
606;"HS";"hm diff ms-groep";
607;"HS";"hmn-groep";
608;"HS";"hmn diff ms-groep";
609;"HS";"hm(m)-kerngroep";
610;"HS";"hmo-kerngroep";
611;"HS";"hm diff heide-groep";
612;"HS";"hc diff heide-groep";
613;"HS";"ms diff heide-groep";
614;"HS";"hei diff gras-groep";
615;"HS";"m diff hei-groep";
616;"HS";"hei diff moer-groep";
618;"HS";"hm_hmo-groep";
619;"HS";"ms_ruim-groep";
620;"HS";"m_ruim-groep";
621;"H";"open heide-groep";
622;"H";"buntgras-groep";
623;"H";"zilverhaver-groep";
624;"H";"ce diff cg-groep";
625;"H";"c diff 23-groep";
626;"H";"23 diff c-groep";
627;"H";"landduin-groep";
628;"H";"duin diff 2330dw";
629;"H";"2330dw diff duin";
630;"H";"23 diff grasland";
631;"H";"cv-vochtig-groep";
632;"H";"7150-groep";
633;"HS";"hei_diff_heischr";
634;"HS";"heischr_diff_hei";
635;"H";"hei_diff_7150-groep";
636;"H";"ven-groep";
637;"H";"grasland diff 23";
638;"O";"hei diff gras-htabel";
639;"O";"7140_oli-groep";
640;"O";"heide s.l.";
641;"O";"heide sl diff grasl";
642;"H";"hmo_ms_diff7140oli";
643;"H";"M diff 4010_7140oli";
644;"H";"(hoog)veenmossen";
645;"H";"dwergbies-groep";
646;"G";"Hn+-groep";
647;"O";"3130-groep";
648;"HS";"heide habitatwaardig sl";
649;"H";"cg diff ce-groep";
650;"H";"ven- en moerasgroep excl 7140";
651;"G";"6410_trouwesoorten";
652;"M";"rietland";
653;"M";"rietl-begeleiders";
654;"M";"snavelb-sleutels.";
655;"M";"zuurlaagv-sleutels.";
656;"M";"zuurlaagv-begel.";
657;"M";"overgangsv-sleutels.";
658;"M";"duinpan-sleutels.";
659;"M";"trilveen";
660;"M";"alkalisch laagveen";
661;"M";"alkalische begeleid.";
662;"M";"natteruigte-sleutel.";
663;"M";"natteruigte-begel.";
664;"M";"dottergrasland";
665;"M";"grotezeggen";
666;"M";"zeebies";
667;"M";"invasieve exoten";
668;"M";"3130_na";
669;"M";"rbbah";
670;"M";"3270";
671;"M";"duinpan+7230";
672;"M";"7140meso diff ms";
673;"M";"mc_eutro";
674;"M";"mc_ruig";
675;"M";"mc_gras";
676;"M";"6430_ruig";
677;"M";"rbbhfl-kwal";
678;"M";"6430_eutro";
679;"M";"6430_ruderaal";
680;"M";"6430_verdroging";
681;"M";"6430_rus";
682;"M";"7140_eutro";
683;"M";"7140_vergrassing";
684;"M";"7140_ruig";
685;"M";"ms_vergrassing";
686;"M";"ms_eutro";
687;"M";"ms_ruig";
688;"M";"water+moeras";
689;"M";"natteruigte-grzegge";
690;"O";"waterpl";
691;"M";"riet_vs_ms";
692;"M";"ms_vs_riet";
693;"M";"hc_vs_mc";
694;"M";"mc_vs_hc";
695;"M";"zil_vs_mc";
696;"M";"mc_vs_zil";
697;"M";"netel_braam";
