"id";"hrl_code";"criterium_naam";"criterium_nr";"code_lijst";"soortenlijstnr";"veldnaam"
599;"rbbHc";"Sleutelsoorten";852;"Sleutelsoorten";440;"AantalSleutelsoorten"
600;"rbbHc";"Sleutelsoorten";853;"Sleutelsoorten";440;"BedekkingSleutelsoorten"
601;"rbbHc";"Verdroging";854;"Verdroging";441;"DroogBedekking"
602;"rbbHc";"Soortenrijkdom";855;;;
603;"rbbHc";"Gras_kruiden-ratio";856;;;
604;"rbbHc";"Verdroging";857;;;
605;"rbbHc";"Vernatting";858;;;
606;"rbbHc";"Eutrofiëring";859;;;
607;"rbbHc";"Verruiging";860;"Verruiging";442;"RuigteBedekking"
608;"rbbHc";"Verbossing";861;;;
609;"rbbHc";"Vernatting";862;"Vernatting";443;"NatBedekking"
610;"rbbHc";"Eutrofiëring";863;"Eutrofiëring";444;"EutroBedekking"
611;"rbbHc";"Ruderalisering";864;"Ruderalisering";445;"RuderalBedekking"
612;"rbbHc";"Pitrus";865;"Pitrus";446;"PitrusBedekking"
613;"rbbHc";"Verbraming";866;"Verbraming";447;"BraamBedekking"
614;"rbbHc";"Vernatting (gn zegge";867;"Vernatting (gn zegge";448;"NatMinZeggeBedekking"
615;"rbbVos";"Verbraming";868;"Verbraming";449;
616;"rbbVos";"Bodemroering";869;"Bodemroering";450;"RuderalBedekking"
617;"rbbVos";"Pitrus";870;"Pitrus";451;"PitrusBedekking"
618;"rbbVos";"Eutrofiëring";871;"Eutrofiëring";452;"EutroBedekking"
619;"rbbVos";"Verruiging";872;"Verruiging";453;"RuigteBedekking"
620;"rbbVos";"Droogtegroep Ellenb";873;;;"DroogEllenb_bedekking"
621;"rbbVos";"Droogtegroep Ellenb";874;;;"DroogEllenb_aantal"
622;"rbbVos";"Vochtgroep Ellenb";894;;;"VochtigEllenb_bedekking"
623;"rbbVos";"Nattegroep Ellenb";876;;;"NatEllenb_aantal"
624;"rbbVos";"SleutelsoortenStart";877;"SleutelsoortenStart";454;"BedekkingSleutelsoortenStart"
625;"rbbVos";"SleutelsoortenStart";878;"SleutelsoortenStart";454;"AantalSleutelsoortenStart"
626;"rbbVos";"Droogtegroep_sleutel";879;"Droogtegroep_sleutel";455;"DroogteSleutel_bedekking"
627;"rbbVos";"Droogtegroep_sleutel";880;"Droogtegroep_sleutel";455;"DroogteSleutel_aantal"
628;"rbbVos";"Vochtgroep_sleutel";881;"Vochtgroep_sleutel";456;"VochtSleutel_bedekking"
629;"rbbVos";"Vochtgroep_sleutel";882;"Vochtgroep_sleutel";456;"VochtSleutel_aantal"
630;"G";"Grvos_trosdravik";883;"Grvos_trosdravik";457;
631;"rbbVos";"basenminnend";884;"basenminnend";458;"basenminnend_aantal"
632;"rbbVos";"hc-groep";885;"hc-groep";459;"hc_aantal"
633;"rbbVos";"hc-groep";886;"hc-groep";468;"hc_bedekking"
634;"rbbVos";"hu-groep";887;"hu-groep";460;"hu_aantal"
635;"rbbVos";"hu-groep";888;"hu-groep";460;"hu_bedekking"
636;"rbbVos";"hu-kerngroep";889;"hu-kerngroep";461;"hukern_aantal"
637;"rbbVos";"hu-kerngroep";890;"hu-kerngroep";461;"hukern_bedekking"
638;"rbbVos";"hua-groep";891;"hua-groep";462;"hua_bedekking"
639;"rbbVos";"hua-kerngroep";892;"hua-kerngroep";463;"huakern_aantal"
640;"rbbVos";"rbbZil-groep";893;"rbbZil-groep";467;"rbbzil_bedekking"
641;"rbbVos";"Nattegroep";875;;;"NatEllenb_bedekking"
642;"rbbVos";"rbbZil-groep";895;"rbbZil-groep";464;"rbbzil_aantal"
643;"rbbVos";"moeras-groep";896;"moeras-groep";466;"moeras_bedekking"
644;"rbbVos";"Sleutelsoorten";897;"Sleutelsoorten";469;"BedekkingSleutelsoorten"
645;"rbbVos";"nattegroep";898;"nattegroep";470;"nattegroep_bedekking"
646;"rbbVos";"Beweiding";899;"Beweiding";471;"Beweiding_bedekking"
647;"rbbVos";"Verdroging";900;"Verdroging";472;"DroogBedekking"
648;"rbbVos";"Vernatting";901;"Vernatting";473;"NatBedekking"
649;"rbbVos";"Sleutelsoorten";902;"Sleutelsoorten";469;"AantalSleutelsoorten"
650;"rbbZil";"SleutelsoortenStart";903;"SleutelsoortenStart";474;"BedekkingSleutelsoortenStart"
651;"rbbZil";"SleutelsoortenStart";904;"SleutelsoortenStart";474;"AantalSleutelsoortenStart"
652;"rbbZil";"ziltegroep";905;"ziltegroep";475;"ZilteGroepBedekking"
653;"rbbZil";"ziltegroep";906;"ziltegroep";475;"ZilteGroepAantal"
654;"rbbZil";"hc-groep";907;"hc-groep";459;"HcAantal"
655;"rbbZil";"hc-groep";908;"hc-groep";468;"HcBedekking"
656;"rbbZil";"hu-groep";909;"hu-groep";460;"HuAantal"
657;"rbbZil";"hu-groep";910;"hu-groep";460;"HuBedekking"
658;"rbbZil";"rbbVos-groep";911;"rbbVos-groep";469;"rbbVosAantal"
659;"rbbZil";"rbbVos-groep";912;"rbbVos-groep";469;"rbbVosBedekking"
660;"rbbZil";"moeras-groep";913;"moeras-groep";466;"MoerasBedekking"
661;"rbbZil";"hf-groep";915;"hf-groep";480;"HfBedekking"
664;"rbbZil";"hu-kerngroep";916;"hu-kerngroep";461;"Hukern_aantal"
665;"rbbZil";"hu-kerngroep";917;"hu-kerngroep";461;"Hukern_bedekking"
666;"rbbZil";"GrVos_trosdravik";918;"GrVos_trosdravik";457;"GrVosBedekking"
667;"rbbZil";"Vernatting";919;"Vernatting";481;"NatBedekking"
668;"rbbZil";"Bodemroering";920;"Bodemroering";482;"RuderalBedekking"
669;"rbbZil";"Pitrus";921;"Pitrus";483;"PitrusBedekking"
670;"rbbZil";"Eutrofiëring";922;"Eutrofiëring";484;"EutroBedekking"
671;"rbbZil";"Verruiging";923;"Verruiging";485;"RuigteBedekking"
673;"rbbZil";"Verdroging";924;"Verdroging";486;"DroogBedekking"
674;"rbbKam";"SleutelsoortenStart";925;"SleutelsoortenStart";487;"BedekkingSleutelsoortenStart"
675;"rbbKam";"SleutelsoortenStart";926;"SleutelsoortenStart";487;"AantalSleutelsoortenStart"
676;"rbbKam";"ziltegroep";927;"ziltegroep";475;"ZilteGroepBedekking"
677;"rbbKam";"ziltegroep";928;"ziltegroep";475;"ZilteGroepAantal"
678;"rbbKam";"hc-groep";929;"hc-groep";459;"HcAantal"
679;"rbbKam";"hc-groep";930;"hc-groep";468;"HcBedekking"
680;"rbbKam";"hu-groep";931;"hu-groep";460;"HuAantal"
681;"rbbKam";"hu-groep";932;"hu-groep";460;"HuBedekking"
682;"rbbKam";"rbbVos-groep";933;"rbbVos-groep";469;"rbbVosAantal"
683;"rbbKam";"rbbVos-groep";934;"rbbVos-groep";469;"rbbVosBedekking"
684;"rbbKam";"moeras-groep";935;"moeras-groep";466;"MoerasBedekking"
685;"rbbKam";"hf-groep";936;"hf-groep";480;"HfBedekking"
686;"rbbKam";"hu-kerngroep";937;"hu-kerngroep";461;"Hukern_aantal"
687;"rbbKam";"hu-kerngroep";938;"hu-kerngroep";461;"Hukern_bedekking"
688;"rbbKam";"GrVos_trosdravik";939;"GrVos_trosdravik";457;"GrVosBedekking"
690;"rbbKam";"Bodemroering";941;"Bodemroering";488;"RuderalBedekking"
691;"rbbKam";"Pitrus";942;"Pitrus";489;"PitrusBedekking"
692;"rbbKam";"Eutrofiëring";943;"Eutrofiëring";490;"EutroBedekking"
693;"rbbKam";"Verruiging";944;"Verruiging";491;"RuigteBedekking"
695;"rbbKam";"EutrofiëringSterk";946;"Eutrofiëring";492;"EutroSterkBedekking"
696;"rbbZil";"Verbraming";947;"Verbraming";447;
697;"rbbKam";"Verbraming";948;"Verbraming";447;
698;"rbbKam";"rbbZil-groep";949;"rbbZil-groep";464;"rbbZilAantal"
699;"rbbKam";"rbbZil-groep";950;"rbbZil-groep";467;"rbbZilBedekking"
700;"rbbHf";"Bodemroering";951;"Bodemroering";493;"RuderalBedekking"
701;"rbbHf";"Pitrus";952;"Pitrus";494;"PitrusBedekking"
702;"rbbHf";"Eutrofiëring";953;"Eutrofiëring";495;"EutroBedekking"
704;"rbbHf";"Verbraming";955;"Verbraming";447;"BraamBedekking"
705;"rbbHf";"moeras-groep";956;"moeras-groep";466;"MoerasBedekking"
706;"rbbHf";"ziltegroep";957;"ziltegroep";475;"ZilteGroepBedekking"
707;"rbbHf";"ziltegroep";958;"ziltegroep";475;"ZilteGroepAantal"
708;"rbbHf";"SleutelsoortenStart";959;"SleutelsoortenStart";497;"BedekkingSleutelsoortenStart"
709;"rbbHf";"SleutelsoortenStart";960;"SleutelsoortenStart";497;"AantalSleutelsoortenStart"
710;"rbbHf";"Vernatting";961;"Vernatting";498;"VernattingBedekking"
711;"rbbHf";"Verdroging";962;"Verdroging";499;"VerdrogingBedekking"
712;"rbbHf";"hc-groep";963;"hc-groep";459;"HcAantal"
713;"rbbHf";"hc-groep";964;"hc-groep";468;"HcBedekking"
714;"rbbHf";"hu-kerngroep";965;"hu-kerngroep";461;"Hukern_aantal"
715;"rbbHf";"hu-kerngroep";966;"hu-kerngroep";461;"Hukern_bedekking"
716;"rbbHf";"GrVos_trosdravik";967;"GrVos_trosdravik";457;"GrVosBedekking"
717;"rbbHf";"hu-groep";968;"hu-groep";460;"HuAantal"
718;"rbbHf";"hu-groep";969;"hu-groep";460;"HuBedekking"
719;"rbbHf";"invasieve exoten";970;"invasieve exoten";500;"InvasieveExotenBedekking"
720;"rbbHf";"rbbZil-groep";971;"rbbZil-groep";464;"rbbZilAantal"
721;"rbbHf";"rbbZil-groep";972;"rbbZil-groep";467;"rbbZilBedekking"
722;"rbbHf";"rbbVos-groep";973;"rbbVos-groep";469;"rbbVosAantal"
723;"rbbHf";"rbbVos-groep";974;"rbbVos-groep";469;"rbbVosBedekking"
724;"rbbHf";"Sleutelsoorten";975;"Sleutelsoorten";501;"BedekkingSleutelsoorten"
725;"rbbHf";"Sleutelsoorten";976;"Sleutelsoorten";501;"AantalSleutelsoorten"
726;"rbbZil";"Sleutelsoorten";977;"Sleutelsoorten";502;"BedekkingSleutelsoorten"
727;"rbbZil";"Sleutelsoorten";978;"Sleutelsoorten";502;"AantalSleutelsoorten"
728;"rbbZil";"SleutelsoortenAgrost";979;"SleutelsoortenAgrost";503;"BedekkingSleutelsoortenAgrosti"
729;"Ha";"SleutelsoortenStart";980;"SleutelsoortenStart";521;"BedekkingSleutelsoortenStart"
730;"Ha";"SleutelsoortenStart";981;"SleutelsoortenStart";504;"AantalSleutelsoortenStart"
731;"Ha";"hn-groep";982;"hn-groep";505;"HnBedekking"
732;"Ha";"hn-groep";983;"hn-groep";505;"HnAantal"
733;"Ha";"hc-groep";984;"hc-groep";459;"HcAantal"
734;"Ha";"hc-groep";985;"hc-groep";468;"HcBedekking"
735;"Ha";"hu-groep";986;"hu-groep";460;"HuAantal"
736;"Ha";"hu-groep";987;"hu-groep";460;"HuBedekking"
737;"Ha";"rbbVos-groep";988;"rbbVos-groep";469;"rbbVosAantal"
738;"Ha";"rbbVos-groep";989;"rbbVos-groep";469;"rbbVosBedekking"
739;"Ha";"hu-kerngroep";992;"hu-kerngroep";461;"Hukern_aantal"
740;"Ha";"hu-kerngroep";993;"hu-kerngroep";461;"Hukern_bedekking"
741;"Ha";"GrVos_trosdravik";994;"GrVos_trosdravik";457;"GrVosBedekking"
742;"Ha";"Bodemroering";995;"Bodemroering";506;"RuderalBedekking"
743;"Ha";"Pitrus";996;"Pitrus";507;"PitrusBedekking"
744;"Ha";"Eutrofiëring";997;"Eutrofiëring";508;"EutroBedekking"
745;"Ha";"Verruiging";998;"Verruiging";510;"RuigteBedekking"
746;"Ha";"EutrofiëringSterk";999;"EutrofiëringSterk";509;"EutroSterkBedekking"
747;"Ha";"Verbraming";1000;"Verbraming";447;
748;"Ha";"rbbKam-groep";1001;"rbbKam-groep";511;"rbbKamBedekking"
749;"Ha";"brem-bedekking";1002;"brem-bedekking";512;"BremBedekking"
750;"Ha";"ha+-groep";1003;"ha+-groep";513;"HaplusAantal"
751;"Ha";"ha+-groep";1004;"ha+-groep";513;"HaplusBedekking"
752;"Hu";"SleutelsoortenStart";1005;"SleutelsoortenStart";514;"BedekkingSleutelsoortenStart"
753;"Hu";"SleutelsoortenStart";1006;"SleutelsoortenStart";514;"AantalSleutelsoortenStart"
754;"Hu";"hn-groep";1007;"hn-groep";505;"HnBedekking"
755;"Hu";"hn-groep";1008;"hn-groep";505;"HnAantal"
756;"Hu";"hc-groep";1009;"hc-groep";459;"HcAantal"
757;"Hu";"hc-groep";1010;"hc-groep";468;"HcBedekking"
758;"Hu";"hu-groep";1011;"hu-groep";460;"HuAantal"
759;"Hu";"hu-groep";1012;"hu-groep";460;"HuBedekking"
760;"Hu";"rbbVos-groep";1013;"rbbVos-groep";469;"rbbVosAantal"
761;"Hu";"rbbVos-groep";1014;"rbbVos-groep";469;"rbbVosBedekking"
762;"Hu";"hu-kerngroep";1015;"hu-kerngroep";461;"Hukern_aantal"
763;"Hu";"hu-kerngroep";1016;"hu-kerngroep";461;"Hukern_bedekking"
764;"Hu";"GrVos_trosdravik";1017;"GrVos_trosdravik";457;"GrVosBedekking"
765;"Hu";"Bodemroering";1018;"Bodemroering";515;"RuderalBedekking"
766;"Hu";"Pitrus";1019;"Pitrus";516;"PitrusBedekking"
767;"Hu";"Eutrofiëring";1020;"Eutrofiëring";517;"EutroBedekking"
768;"Hu";"Verruiging";1021;"Verruiging";519;"RuigteBedekking"
769;"Hu";"EutrofiëringSterk";1022;"EutrofiëringSterk";518;"EutroSterkBedekking"
770;"Hu";"Verbraming";1023;"Verbraming";447;
771;"Hu";"rbbKam-groep";1024;"rbbKam-groep";511;"rbbKamBedekking"
773;"Hu";"ha+-groep";1026;"ha+-groep";513;"HaplusAantal"
774;"Hu";"ha+-groep";1027;"ha+-groep";513;"HaplusBedekking"
775;"Hu";"moeras-groep";1029;"moeras-groep";466;"MoerasBedekking"
776;"Hu";"hf-groep";1030;"hf-groep";480;"HfBedekking"
777;"Hu";"rbbZil-groep";1031;"rbbZil-groep";464;"rbbZilAantal"
778;"Hu";"rbbZil-groep";1032;"rbbZil-groep";467;"rbbZilBedekking"
779;"Hu";"Vernatting";1025;"Vernatting";520;"NatBedekking"
780;"Hu";"ha-groep";1033;"ha-groep";504;"HaBedekking"
781;"Hu";"Beweiding";1034;"Beweiding";471;"BeweidingBedekking"
788;"rbbHf";"SleutelsoortenKempen";1035;"SleutelsoortenKempen";526;"BedekkingSleutelsoortenKempen"
789;"rbbHf";"SleutelsoortenKempen";1036;"SleutelsoortenKempen";526;"AantalSleutelsoortenKempen"
790;"rbbHf";"BodemroeringKempen";1037;"BodemroeringKempen";522;"RuderalBedekkingKempen"
791;"rbbHf";"VerdrogingKempen";1038;"VerdrogingKempen";523;"VerdrogingBedekkingKempen"
792;"rbbHf";"EutrofiëringKempen";1039;"EutrofiëringKempen";524;"EutroBedekkingKempen"
793;"rbbHf";"VernattingKempen";1040;"VernattingKempen";525;"VernattingBedekkingKempen"
794;"Ha";"Sleutelsoorten";1041;"Sleutelsoorten";528;"BedekkingSleutelsoorten"
795;"Ha";"Sleutelsoorten";1042;"Sleutelsoorten";527;"AantalSleutelsoorten"
796;"Ha";"Lage grassen";1043;"Lage grassen";529;"LageGrassenBedekking"
797;"rbbhc";"Beweiding";1044;"Beweiding";530;"BeweidingBedekking"
798;"rbbhc";"hc-groep";1045;"hc-groep";459;"HcAantal"
